flight_id,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Price Category Code,Terminal,Boarding Area
9023,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Other,Terminal 3,F
9066,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Low Fare,Terminal 3,F
9485,Swissport USA,,Swissport USA,,International,Europe,Other,International,A
9536,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Low Fare,International,G
9637,XL Airways France,SE,XL Airways France,SE,International,Europe,Other,International,A
9702,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 1,B
9726,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Other,Terminal 1,B
10065,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Other,Terminal 1,B
10340,World Airways,WO,World Airways,WO,Domestic,US,Other,International,A
10596,Emirates ,EK,Emirates ,EK,International,Middle East,Low Fare,International,A
10628,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Low Fare,International,G
10809,China Eastern,MU,China Eastern,MU,International,Asia,Other,International,A
10839,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Other,International,G
10863,Swissport USA,,Swissport USA,,Domestic,US,Other,International,A
11017,Air China,CA,Air China,CA,International,Asia,Low Fare,International,G
11192,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Other,Terminal 1,B
11198,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Other,International,G
11199,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Other,Terminal 1,B
11201,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Other,Terminal 3,F
11216,United Airlines,UA,United Airlines,UA,Domestic,US,Other,International,G
11221,United Airlines,UA,United Airlines,UA,International,Asia,Other,International,G
11223,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Other,International,G
11225,United Airlines,UA,United Airlines,UA,International,Canada,Other,Terminal 3,F
11227,United Airlines,UA,United Airlines,UA,International,Europe,Other,International,G
11229,United Airlines,UA,United Airlines,UA,International,Mexico,Other,International,G
11380,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Other,Other,Other
11390,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Other,Terminal 1,C
11421,Republic Airlines,RW,Republic Airlines,RW,Domestic,US,Other,Terminal 1,B
11902,United Airlines,UA,United Airlines,UA,Domestic,US,Other,Terminal 3,E
12011,Swissport USA,,Swissport USA,,International,Asia,Other,International,A
12153,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Other,International,G
12920,United Airlines,UA,United Airlines,UA,International,Canada,Other,International,G
